nameseq,k1,k2,k3,label
lcl|Zmarina_Zosma12g00190.1,1.9545970338526382,3.845463235575952,5.582247656567127,0
lcl|Zmarina_Zosma12g00300.1,1.9723043709885761,3.865682821378461,5.681459135850445,0
lcl|Zmarina_Zosma12g00330.1,1.979768415221348,3.92341994342849,5.817785398206371,0
lcl|Zmarina_Zosma12g00340.1,1.952801337034253,3.8705101165562477,5.605370202497879,0
lcl|Zmarina_Zosma12g00370.1,1.9708784489198408,3.879757137097342,5.73504327993681,0
lcl|Zmarina_Zosma12g00460.1,1.8934890092986048,3.7338277253456313,5.469905165021049,0
lcl|Zmarina_Zosma12g00610.1,1.976575761642437,3.927385290085854,5.686955019998357,0
lcl|Zmarina_Zosma12g00630.1,1.9167475455425929,3.756518181088013,5.438566630292889,0
lcl|Zmarina_Zosma12g00650.1,1.9624848200426142,3.868871889536305,5.720936085801513,0
lcl|Zmarina_Zosma12g00660.1,1.9724816239364436,3.8115025390094215,5.421887005664443,0
lcl|Zmarina_Zosma12g00670.1,1.918376685113724,3.8094691318761242,5.626512448341986,0
lcl|Zmarina_Zosma12g00720.1,1.9402427308487864,3.860757204632693,5.639528711280748,0
lcl|Zmarina_Zosma12g00790.1,1.9831526955383383,3.9501288610155254,5.772451142067384,0
lcl|Zmarina_Zosma130g00060.1,1.973696576790664,3.906010451690026,5.761304801562869,0
lcl|Zmarina_Zosma132g00280.1,1.898589728189628,3.7586387720782275,5.505663801766725,0
lcl|Zmarina_Zosma132g00510.1,1.9714935400281648,3.9133738513115244,5.788605235560356,0
lcl|Zmarina_Zosma132g00680.1,1.8775548260303667,3.7059951005568426,5.502630293569565,0
lcl|Zmarina_Zosma13315g00010.1,1.8620932817954863,3.658943464773239,5.286071266949183,0
lcl|Zmarina_Zosma133g00040.1,1.9550004635662621,3.8854969932029513,5.786362580257985,0
lcl|Zmarina_Zosma133g00770.1,1.9598199058079566,3.8668607124394576,5.713828269370473,0
lcl|Zmarina_Zosma134g00130.1,1.882902805916751,3.698203343329149,5.350435500365362,0
lcl|Zmarina_Zosma134g00180.1,1.9844973433253563,3.9452179222803845,5.819584162878099,0
lcl|Zmarina_Zosma13515g00010.1,1.987568087471669,3.9558152434982534,5.8087655990247455,0
lcl|Zmarina_Zosma135g00180.1,1.9561194255877377,3.884474513433588,5.737343576798526,0
lcl|Zmarina_Zosma135g00490.1,1.917316665996929,3.809475681299744,5.663123134158075,0
lcl|Zmarina_Zosma135g00510.1,1.9796073155102545,3.9286259804591794,5.762869850671878,0
lcl|Zmarina_Zosma135g00530.1,1.9854683636280772,3.9451366989484398,5.845205319799085,0
lcl|Zmarina_Zosma136g00050.1,1.9184540167600819,3.747761731674533,5.3965769326338355,0
lcl|Zmarina_Zosma136g00230.1,1.9582029943651529,3.880131367758545,5.741054182587994,0
lcl|Zmarina_Zosma137g00110.1,1.9050755217113517,3.7451628756883752,5.495498381533875,0
lcl|Zmarina_Zosma137g00440.1,1.8940792045624328,3.657698764887701,5.101276384104846,0
lcl|Zmarina_Zosma138g00040.1,1.936529840534215,3.8447820500828187,5.663018233040124,0
lcl|Zmarina_Zosma138g00170.1,1.9865106584105556,3.9404340841179026,5.845861159160063,0
lcl|Zmarina_Zosma138g00240.1,1.9083821983578877,3.789657243465922,5.549505977125199,0
